what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429891417334
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429891539053
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1429891539060
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429891596024
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200906161748,"org.eclipse.cdt.managedbuilder.core",1429891613724
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429891613737
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1429891613743
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1429891613816
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1429891613843
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429891614206
started,bundle,org.eclipse.cdt.make.core,6.0.0.200906161748,"org.eclipse.cdt.make.core",1429891614206
started,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1429891682621
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1429891682885
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429891682905
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1429891683083
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429892079588
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429892831728
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429892840519
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429892863329
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429892866257
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429892914475
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429892915666
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429893080362
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429893081811
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1429893083708
