what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430160967170
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430160968341
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1430160972136
closed,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1430160972136
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1430160972944
closed,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1430160972944
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430160973873
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430160974060
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430160974979
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430160977980
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430160994643
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430160999489
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430161000004
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430161379915
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430161387442
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430161860724
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430161862241
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430162610662
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1430162621045
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1430162625339
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1430162625369
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430162629904
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430162630117
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430162660247
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1430163110505
